MEET,NAME,FX,PH,SR,VT,PB,HB,AA,TEAM,ROUND,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
usa_ot2,Yul Moldauer,13.7,12.9,13.8,14.1,14.1,13,81.6,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Colt Walker,13.85,13.9,13.7,14.2,14.8,12.15,82.6,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Jeremy Bischoff,13.65,13.4,13.3,14,14.1,12.1,80.55,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Kai Uemura,12.95,13,12.95,13.75,13.75,13.15,79.55,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Kiran Mandava,13.15,13.05,12.95,13.9,13.8,13.1,79.95,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Tate Costa,13.6,10.2,12.6,13.5,13.15,13.6,76.65,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Khoi Young,14.45,14.25,0,15.1,14.55,13.25,71.6,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Curran Phillips,13.55,NA,NA,13.1,15.65,14.1,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Joshua Karnes,NA,12.95,NA,NA,14.4,13.55,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Patrick Hoopes,NA,15,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Stephen Nedoroscik,NA,14.85,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_ot2,Alex Diab,NA,NA,14.45,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Hashimoto Daiki,15,15.133,14.166,15.1,14.766,13.8,87.965,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Oka Shinnosuke,14.533,13.633,14.466,14.333,15.2,13.933,86.098,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Kaya Kazuma,14,14.7,14.133,14.133,14.766,14,85.732,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Sugino Takaaki,14,15,13.133,14.8,14.1,15.1,86.133,JPN,NA,NA,NA,NA,NA,NA,NA
jpn_aj2,Doi Ryosuke,14.2,14.166,13.333,14.8,14.6,13.1,84.199,JPN,NA,NA,NA,NA,NA,NA,NA
