team,names,total
V541,NA,255.8375
V1603,NA,255.8375
V2544,NA,255.8375
V879,NA,255.83333333333337
V345,NA,255.825
V350,NA,255.825
V354,NA,255.825
V3907,NA,255.825
V5649,NA,255.825
V739,NA,255.825
V870,NA,255.825
V1085,NA,255.82083333333333
V2939,NA,255.82083333333333
V3949,NA,255.82083333333333
V4659,NA,255.82083333333333
V1087,NA,255.8125
V1348,NA,255.8125
V1538,NA,255.8125
V1639,NA,255.8125
V1996,NA,255.8125
V274,NA,255.8125
V3992,NA,255.8125
V4072,NA,255.8125
V4662,NA,255.8125
V4968,NA,255.8125
V4240,NA,255.80833333333337
V1805,NA,255.8
V2878,NA,255.8
V436,NA,255.8
V441,NA,255.8
V445,NA,255.8
V5583,NA,255.8
V4306,NA,255.79583333333332
V1195,NA,255.7875
V1200,NA,255.7875
V1204,NA,255.7875
V1513,NA,255.7875
V2262,NA,255.7875
V313,NA,255.7875
V317,NA,255.7875
V3929,NA,255.7875
V4224,NA,255.7875
V2521,NA,255.78333333333333
V194,NA,255.775
V2967,NA,255.775
V377,NA,255.775
V380,NA,255.775
V381,NA,255.775
V382,NA,255.775
V3897,NA,255.775
V5219,NA,255.775
V5257,NA,255.775
V701,NA,255.775
V942,NA,255.775
V939,NA,255.775
V1275,NA,255.77083333333331
V1907,NA,255.7625
V888,NA,255.7625
V1188,NA,255.7625
V1303,NA,255.7625
V3013,NA,255.7625
V4775,NA,255.7625
V72,NA,255.7625
V74,NA,255.7625
V75,NA,255.7625
V76,NA,255.7625
V77,NA,255.7625
V1044,NA,255.75
V1520,NA,255.75
V1807,NA,255.75
V2068,NA,255.75
V2147,NA,255.75
V4666,NA,255.75
V4723,NA,255.75
V491,NA,255.75
V693,NA,255.75
V1635,NA,255.74583333333337
V4773,NA,255.74583333333337
V1556,NA,255.7375
V1626,NA,255.7375
V1722,NA,255.7375
V1748,NA,255.7375
V476,NA,255.7375
V4799,NA,255.7375
V5620,NA,255.7375
V814,NA,255.7375
V915,NA,255.7375
V4595,NA,255.7375
V1714,NA,255.725
V1157,NA,255.725
V2081,NA,255.725
V4118,NA,255.725
V4587,NA,255.725
V6162,NA,255.725
V972,NA,255.725
V986,NA,255.725
V2224,NA,255.72083333333333
V7208,NA,255.72083333333333
V1500,NA,255.7125
V2533,NA,255.7125
V326,NA,255.7125
V327,NA,255.7125
V328,NA,255.7125
V329,NA,255.7125
V4194,NA,255.7125
V575,NA,255.7125
V937,NA,255.7125
V953,NA,255.7125
V3889,NA,255.70833333333337
V525,NA,255.70833333333337
V691,NA,255.70833333333337
V1661,NA,255.7
V4661,NA,255.7
V4685,NA,255.7
V4767,NA,255.7
V736,NA,255.7
V742,NA,255.7
V747,NA,255.7
V751,NA,255.7
V4099,NA,255.69583333333333
V4722,NA,255.69583333333333
V507,NA,255.69583333333333
V1069,NA,255.6875
V1076,NA,255.6875
V1133,NA,255.6875
V2169,NA,255.6875
V2543,NA,255.6875
V261,NA,255.6875
V4009,NA,255.6875
V4147,NA,255.6875
V4408,NA,255.6875
V540,NA,255.6875
V7182,NA,255.6875
V978,NA,255.6875
V1906,NA,255.68333333333337
V4684,NA,255.68333333333337
V2057,NA,255.675
V4752,NA,255.675
V738,NA,255.675
V869,NA,255.675
V873,NA,255.675
V960,NA,255.675
V4305,NA,255.675
V820,NA,255.675
V1861,NA,255.67083333333335
V898,NA,255.67083333333335
V913,NA,255.67083333333335
V919,NA,255.67083333333335
V924,NA,255.67083333333335
V928,NA,255.67083333333335
V5575,NA,255.6625
V1086,NA,255.6625
V1162,NA,255.6625
V1300,NA,255.6625
V1347,NA,255.6625
V2513,NA,255.6625
V286,NA,255.6625
V288,NA,255.6625
V289,NA,255.6625
V290,NA,255.6625
V291,NA,255.6625
V4239,NA,255.6625
V4967,NA,255.6625
V5687,NA,255.6625
V867,NA,255.6625
V1548,NA,255.65
V2452,NA,255.65
V5582,NA,255.65
V4137,NA,255.65
V478,NA,255.65
V2146,NA,255.64583333333337
V3939,NA,255.64583333333337
V5055,NA,255.64583333333337
V4335,NA,255.64583333333331
V3948,NA,255.6375
V6963,NA,255.6375
V1056,NA,255.6375
V1194,NA,255.6375
V1199,NA,255.6375
V1203,NA,255.6375
V1905,NA,255.6375
V2512,NA,255.6375
V3879,NA,255.6375
V4616,NA,255.6375
V940,NA,255.6375
V996,NA,255.6375
V1544,NA,255.63333333333333
V2995,NA,255.63333333333333
V1535,NA,255.625
V2816,NA,255.625
V371,NA,255.625
V5218,NA,255.625
V5256,NA,255.625
V1274,NA,255.62083333333337
V4213,NA,255.62083333333337
V1302,NA,255.6125
V3975,NA,255.6125
V398,NA,255.6125
V660,NA,255.6125
